Facility,day1,count
DOE Library,2017-10-10T00:00:00Z,4211
DOE Library,2017-10-11T00:00:00Z,4202
DOE Library,2017-10-12T00:00:00Z,3700
DOE Library,2017-10-13T00:00:00Z,3682
DOE Library,2017-10-14T00:00:00Z,1510
DOE Library,2017-10-15T00:00:00Z,1555
DOE Library,2017-10-16T00:00:00Z,3877
DOE Library,2017-10-17T00:00:00Z,3832
DOE Library,2017-10-18T00:00:00Z,3979
DOE Library,2017-10-19T00:00:00Z,3609
DOE Library,2017-10-20T00:00:00Z,4180
DOE Library,2017-10-21T00:00:00Z,3133
DOE Library,2017-10-22T00:00:00Z,1774
DOE Library,2017-10-23T00:00:00Z,3843
DOE Library,2017-10-24T00:00:00Z,3697
DOE Library,2017-10-25T00:00:00Z,3990
DOE Library,2017-10-26T00:00:00Z,3631
DOE Library,2017-10-27T00:00:00Z,3114
DOE Library,2017-10-28T00:00:00Z,1672
DOE Library,2017-10-29T00:00:00Z,1638
DOE Library,2017-10-30T00:00:00Z,3966
DOE Library,2017-10-31T00:00:00Z,3545
DOE Library,2017-11-01T00:00:00Z,3689
DOE Library,2017-11-02T00:00:00Z,3478
DOE Library,2017-11-03T00:00:00Z,3046
DOE Library,2017-11-04T00:00:00Z,1536
DOE Library,2017-11-05T00:00:00Z,1652
DOE Library,2017-11-06T00:00:00Z,4029
DOE Library,2017-11-07T00:00:00Z,3742
DOE Library,2017-11-08T00:00:00Z,3437
DOE Library,2017-11-09T00:00:00Z,3182
DOE Library,2017-11-10T00:00:00Z,79
DOE Library,2017-11-11T00:00:00Z,64
DOE Library,2017-11-12T00:00:00Z,1567
DOE Library,2017-11-13T00:00:00Z,4179
DOE Library,2017-11-14T00:00:00Z,4141
DOE Library,2017-11-15T00:00:00Z,3772
DOE Library,2017-11-16T00:00:00Z,2953
DOE Library,2017-11-17T00:00:00Z,3044
DOE Library,2017-11-18T00:00:00Z,1423
DOE Library,2017-11-19T00:00:00Z,1465
DOE Library,2017-11-20T00:00:00Z,3489
DOE Library,2017-11-21T00:00:00Z,2592
DOE Library,2017-11-22T00:00:00Z,1370
DOE Library,2017-11-23T00:00:00Z,31
DOE Library,2017-11-24T00:00:00Z,42
DOE Library,2017-11-25T00:00:00Z,32
DOE Library,2017-11-26T00:00:00Z,798
DOE Library,2017-11-27T00:00:00Z,3625
DOE Library,2017-11-28T00:00:00Z,3778
DOE Library,2017-11-29T00:00:00Z,4e3
DOE Library,2017-11-30T00:00:00Z,3623
DOE Library,2017-12-01T00:00:00Z,3192
DOE Library,2017-12-02T00:00:00Z,1433
DOE Library,2017-12-03T00:00:00Z,1320
DOE Library,2017-12-04T00:00:00Z,3744
DOE Library,2017-12-05T00:00:00Z,3681
DOE Library,2017-12-06T00:00:00Z,3663
DOE Library,2017-12-07T00:00:00Z,4017
DOE Library,2017-12-08T00:00:00Z,3650
DOE Library,2017-12-09T00:00:00Z,2497
DOE Library,2017-12-10T00:00:00Z,1856
DOE Library,2017-12-11T00:00:00Z,3392
DOE Library,2017-12-12T00:00:00Z,3186
DOE Library,2017-12-13T00:00:00Z,2780
DOE Library,2017-12-14T00:00:00Z,2516
DOE Library,2017-12-15T00:00:00Z,2161
DOE Library,2017-12-16T00:00:00Z,50
DOE Library,2017-12-17T00:00:00Z,41
DOE Library,2017-12-18T00:00:00Z,1280
DOE Library,2017-12-19T00:00:00Z,1377
DOE Library,2017-12-20T00:00:00Z,1194
DOE Library,2017-12-21T00:00:00Z,1055
DOE Library,2017-12-22T00:00:00Z,387
DOE Library,2017-12-23T00:00:00Z,64
DOE Library,2017-12-24T00:00:00Z,23
DOE Library,2017-12-25T00:00:00Z,20
DOE Library,2017-12-26T00:00:00Z,86
DOE Library,2017-12-27T00:00:00Z,75
DOE Library,2017-12-28T00:00:00Z,123
DOE Library,2017-12-29T00:00:00Z,115
DOE Library,2017-12-30T00:00:00Z,35
DOE Library,2017-12-31T00:00:00Z,36
DOE Library,2018-01-01T00:00:00Z,28
DOE Library,2018-01-02T00:00:00Z,1183
DOE Library,2018-01-03T00:00:00Z,1100
DOE Library,2018-01-04T00:00:00Z,1113
DOE Library,2018-01-05T00:00:00Z,977
DOE Library,2018-01-06T00:00:00Z,47
DOE Library,2018-01-07T00:00:00Z,53
DOE Library,2018-01-08T00:00:00Z,1049
DOE Library,2018-01-09T00:00:00Z,1259
DOE Library,2018-01-10T00:00:00Z,1305
DOE Library,2018-01-11T00:00:00Z,1414
DOE Library,2018-01-12T00:00:00Z,1404
DOE Library,2018-01-13T00:00:00Z,427
